Player1,Nat1,Player2,Nat2
Viktor AXELSEN,DEN,SAI PRANEETH B.,IND
Mark CALJOUW,NED,Sameer VERMA,IND
Anthony Sinisuka GINTING,INA,PARUPALLI Kashyap,IND
Kantaphon WANGCHAROEN,THA,KIDAMBI Srikanth,IND
CHOU Tien Chen,TPE,Shesar Hiren RHUSTAVITO,INA
LIEW Daren,MAS,Toma Junior POPOV,FRA
Jonatan CHRISTIE,INA,Brice LEVERDEZ,FRA
Kunlavut VITIDSARN,THA,PRANNOY H. S.,IND
LU Guang Zu,CHN,ZHAO Jun Peng,CHN
Thomas ROUXEL,FRA,NG Ka Long Angus,HKG
Sourabh VERMA,IND,Lakshya SEN,IND
LOH Kean Yew,SGP,Anders ANTONSEN,DEN
Sitthikom THAMMASIN,THA,Brian YANG,CAN
Kenta NISHIMOTO,JPN,LEE Zii Jia,MAS
LEE Cheuk Yiu,HKG,HEO Kwang Hee,KOR
Hans-Kristian Solberg VITTINGHUS,DEN,Kento MOMOTA,JPN
